stk1,stk2,a,b
600860,601107,0,0
600860,300251,0,0
600860,000582,0,0
600860,600717,0,0
600860,603859,0,0
600860,600159,0,0
600860,001896,0,0
600860,603167,0,0
600860,600149,0,0
600860,601608,0,0
600860,600809,0,0
600860,300402,0,0
600860,600403,0,0
600860,600508,0,0
600860,600792,0,0
600860,600110,0,0
600860,600018,0,0
600860,000652,0,0
600860,600160,0,0
600860,600830,0,0
600860,600999,0,0
600860,300269,0,0
600860,000848,0,0
600860,300090,0,0
600860,300390,0,0
600860,002501,0,0
600860,000061,0,0
600860,601001,0,0
600860,000544,0,0
601107,300251,0,0
601107,000582,0,0
601107,600717,0,0
601107,603859,0,0
601107,600159,0,0
601107,001896,0,0
601107,603167,0,0
601107,600149,0,0
601107,601608,0,0
601107,600809,0,0
601107,300402,0,0
601107,600403,0,0
601107,600508,0,0
601107,600792,0,0
601107,600110,0,0
601107,600018,0,0
601107,000652,0,0
601107,600160,0,0
601107,600830,0,0
601107,600999,0,0
601107,300269,0,0
601107,000848,0,0
601107,300090,0,0
601107,300390,0,0
601107,002501,0,0
601107,000061,0,0
601107,601001,0,0
601107,000544,0,0
300251,000582,0,0
300251,600717,0,0
300251,603859,0,0
300251,600159,0,0
300251,001896,0,0
300251,603167,0,0
300251,600149,0,0
300251,601608,0,0
300251,600809,0,0
300251,300402,0,0
300251,600403,0,0
300251,600508,0,0
300251,600792,0,0
300251,600110,0,0
300251,600018,0,0
300251,000652,0,0
300251,600160,0,0
300251,600830,0,0
300251,600999,0,0
300251,300269,0,0
300251,000848,0,0
300251,300090,0,0
300251,300390,0,0
300251,002501,0,0
300251,000061,0,0
300251,601001,0,0
300251,000544,0,0
000582,600717,0,0
000582,603859,0,0
000582,600159,0,0
000582,001896,0,0
000582,603167,0,0
000582,600149,0,0
000582,601608,0,0
000582,600809,0,0
000582,300402,0,0
000582,600403,0,0
000582,600508,0,0
000582,600792,0,0
000582,600110,0,0
000582,600018,0,0
000582,000652,0,0
000582,600160,0,0
000582,600830,0,0
000582,600999,0,0
000582,300269,0,0
000582,000848,0,0
000582,300090,0,0
000582,300390,0,0
000582,002501,0,0
000582,000061,0,0
000582,601001,0,0
000582,000544,0,0
600717,603859,0,0
600717,600159,0,0
600717,001896,0,0
600717,603167,0,0
600717,600149,0,0
600717,601608,0,0
600717,600809,0,0
600717,300402,0,0
600717,600403,0,0
600717,600508,0,0
600717,600792,0,0
600717,600110,0,0
600717,600018,0,0
600717,000652,0,0
600717,600160,0,0
600717,600830,0,0
600717,600999,0,0
600717,300269,0,0
600717,000848,0,0
600717,300090,0,0
600717,300390,0,0
600717,002501,0,0
600717,000061,0,0
600717,601001,0,0
600717,000544,0,0
603859,600159,0,0
603859,001896,0,0
603859,603167,0,0
603859,600149,0,0
603859,601608,0,0
603859,600809,0,0
603859,300402,0,0
603859,600403,0,0
603859,600508,0,0
603859,600792,0,0
603859,600110,0,0
603859,600018,0,0
603859,000652,0,0
603859,600160,0,0
603859,600830,0,0
603859,600999,0,0
603859,300269,0,0
603859,000848,0,0
603859,300090,0,0
603859,300390,0,0
603859,002501,0,0
603859,000061,0,0
603859,601001,0,0
603859,000544,0,0
600159,001896,0,0
600159,603167,0,0
600159,600149,0,0
600159,601608,0,0
600159,600809,0,0
600159,300402,0,0
600159,600403,0,0
600159,600508,0,0
600159,600792,0,0
600159,600110,0,0
600159,600018,0,0
600159,000652,0,0
600159,600160,0,0
600159,600830,0,0
600159,600999,0,0
600159,300269,0,0
600159,000848,0,0
600159,300090,0,0
600159,300390,0,0
600159,002501,0,0
600159,000061,0,0
600159,601001,0,0
600159,000544,0,0
001896,603167,0,0
001896,600149,0,0
001896,601608,0,0
001896,600809,0,0
001896,300402,0,0
001896,600403,0,0
001896,600508,0,0
001896,600792,0,0
001896,600110,0,0
001896,600018,0,0
001896,000652,0,0
001896,600160,0,0
001896,600830,0,0
001896,600999,0,0
001896,300269,0,0
001896,000848,0,0
001896,300090,0,0
001896,300390,0,0
001896,002501,0,0
001896,000061,0,0
001896,601001,0,0
001896,000544,0,0
603167,600149,0,0
603167,601608,0,0
603167,600809,0,0
603167,300402,0,0
603167,600403,0,0
603167,600508,0,0
603167,600792,0,0
603167,600110,0,0
603167,600018,0,0
603167,000652,0,0
603167,600160,0,0
603167,600830,0,0
603167,600999,0,0
603167,300269,0,0
603167,000848,0,0
603167,300090,0,0
603167,300390,0,0
603167,002501,0,0
603167,000061,0,0
603167,601001,0,0
603167,000544,0,0
600149,601608,0,0
600149,600809,0,0
600149,300402,0,0
600149,600403,0,0
600149,600508,0,0
600149,600792,0,0
600149,600110,0,0
600149,600018,0,0
600149,000652,0,0
600149,600160,0,0
600149,600830,0,0
600149,600999,0,0
600149,300269,0,0
600149,000848,0,0
600149,300090,0,0
600149,300390,0,0
600149,002501,0,0
600149,000061,0,0
600149,601001,0,0
600149,000544,0,0
601608,600809,0,0
601608,300402,0,0
601608,600403,0,0
601608,600508,0,0
601608,600792,0,0
601608,600110,0,0
601608,600018,0,0
601608,000652,0,0
601608,600160,0,0
601608,600830,0,0
601608,600999,0,0
601608,300269,0,0
601608,000848,0,0
601608,300090,0,0
601608,300390,0,0
601608,002501,0,0
601608,000061,0,0
601608,601001,0,0
601608,000544,0,0
600809,300402,0,0
600809,600403,0,0
600809,600508,0,0
600809,600792,0,0
600809,600110,0,0
600809,600018,0,0
600809,000652,0,0
600809,600160,0,0
600809,600830,0,0
600809,600999,0,0
600809,300269,0,0
600809,000848,0,0
600809,300090,0,0
600809,300390,0,0
600809,002501,0,0
600809,000061,0,0
600809,601001,0,0
600809,000544,0,0
300402,600403,0,0
300402,600508,0,0
300402,600792,0,0
300402,600110,0,0
300402,600018,0,0
300402,000652,0,0
300402,600160,0,0
300402,600830,0,0
300402,600999,0,0
300402,300269,0,0
300402,000848,0,0
300402,300090,0,0
300402,300390,0,0
300402,002501,0,0
300402,000061,0,0
300402,601001,0,0
300402,000544,0,0
600403,600508,0,0
600403,600792,0,0
600403,600110,0,0
600403,600018,0,0
600403,000652,0,0
600403,600160,0,0
600403,600830,0,0
600403,600999,0,0
600403,300269,0,0
600403,000848,0,0
600403,300090,0,0
600403,300390,0,0
600403,002501,0,0
600403,000061,0,0
600403,601001,0,0
600403,000544,0,0
600508,600792,0,0
600508,600110,0,0
600508,600018,0,0
600508,000652,0,0
600508,600160,0,0
600508,600830,0,0
600508,600999,0,0
600508,300269,0,0
600508,000848,0,0
600508,300090,0,0
600508,300390,0,0
600508,002501,0,0
600508,000061,0,0
600508,601001,0,0
600508,000544,0,0
600792,600110,0,0
600792,600018,0,0
600792,000652,0,0
600792,600160,0,0
600792,600830,0,0
600792,600999,0,0
600792,300269,0,0
600792,000848,0,0
600792,300090,0,0
600792,300390,0,0
600792,002501,0,0
600792,000061,0,0
600792,601001,0,0
600792,000544,0,0
600110,600018,0,0
600110,000652,0,0
600110,600160,0,0
600110,600830,0,0
600110,600999,0,0
600110,300269,0,0
600110,000848,0,0
600110,300090,0,0
600110,300390,0,0
600110,002501,0,0
600110,000061,0,0
600110,601001,0,0
600110,000544,0,0
600018,000652,0,0
600018,600160,0,0
600018,600830,0,0
600018,600999,0,0
600018,300269,0,0
600018,000848,0,0
600018,300090,0,0
600018,300390,0,0
600018,002501,0,0
600018,000061,0,0
600018,601001,0,0
600018,000544,0,0
000652,600160,0,0
000652,600830,0,0
000652,600999,0,0
000652,300269,0,0
000652,000848,0,0
000652,300090,0,0
000652,300390,0,0
000652,002501,0,0
000652,000061,0,0
000652,601001,0,0
000652,000544,0,0
600160,600830,0,0
600160,600999,0,0
600160,300269,0,0
600160,000848,0,0
600160,300090,0,0
600160,300390,0,0
600160,002501,0,0
600160,000061,0,0
600160,601001,0,0
600160,000544,0,0
600830,600999,0,0
600830,300269,0,0
600830,000848,0,0
600830,300090,0,0
600830,300390,0,0
600830,002501,0,0
600830,000061,0,0
600830,601001,0,0
600830,000544,0,0
600999,300269,0,0
600999,000848,0,0
600999,300090,0,0
600999,300390,0,0
600999,002501,0,0
600999,000061,0,0
600999,601001,0,0
600999,000544,0,0
300269,000848,0,0
300269,300090,0,0
300269,300390,0,0
300269,002501,0,0
300269,000061,0,0
300269,601001,0,0
300269,000544,0,0
000848,300090,0,0
000848,300390,0,0
000848,002501,0,0
000848,000061,0,0
000848,601001,0,0
000848,000544,0,0
300090,300390,0,0
300090,002501,0,0
300090,000061,0,0
300090,601001,0,0
300090,000544,0,0
300390,002501,0,0
300390,000061,0,0
300390,601001,0,0
300390,000544,0,0
002501,000061,0,0
002501,601001,0,0
002501,000544,0,0
000061,601001,0,0
000061,000544,0,0
601001,000544,0,0
